,Unnamed: 0,S.No,URL,Title,Description,Class,ProcessedListings
0,0,0,https://newyork.craigslist.org/brk/hss/d/brooklyn-free-inspection-real-18month/7411621043.html,"FREE inspection Real 18month GUARANTEE exterminator/pestcontrolÃ°Å¸Ââ‚¬ (Bx,Bk,LI,Qns,SI,NY,Tri state (Transparent pricing ))","Licensed exterminator here for you.  Free in home inspections for all pest even bedbugs.(boros) Certified termite inspections.  ', 'Roach treatment: ', '$125 all rooms or 3 family house with a 30day follow up. ', 'with a 18 month guarantee.', '', 'Bedbugs:', '$350 entire apt all rooms,follow up and 18 month guarantee included.', '', 'Mice:', '$125 entire apt or 3 family house follow up included with 18 month guarantee. ', '', ""We handle any and all pest.  No gimmicks. No charging per room or contract to sign for service. Set price plus follow up and a guarantee. What you see here is what you get. No hidden fees or extra costs.  Will match all qoutes with 18month guarantee included. Free inspections. All services come with a follow up treatment. Ants,bees,mice,rats ticks,fleas,flies,moths,spiders,roaches,bedbugs,crickets,beetles,wasps,termites,whatever. All organic kid,pet and people safe no need to leave your home. Free inhome inspections  24hr sameday service available.  Violations removed. Commercial-residential service available. Veterans and MOS discounts. Credit card accepted. No gimmicks or hidden costs, one set price that includes a follow up and guarantee in writing. No one room price and then charging extra for additional room. No contracts or gimmicks. Thanks to all my competitors for locking up my old website. Trying to get me to buy back my own old website. They know I'm the best exterminator for your needs. My old site Louieexterminating.com. My new site Louieextermination.com "", 'Thanks for the flowers guys. I know I scare you. ""Exterminating not  pest control,there\'s a difference ""Hablamos espaÃƒÂ±ol.  Call 7185818827 office or 3478853592 emergencies 24hrs.  Visit our website at WWW.louieextermination.com Follow us on Facebook or IG.  Youtube. ""Exterminating not pestcontrol, there\'s a difference ""    '",Exterminator,inspect real 18month guarante extermin pestcontrol bx bk qn ny tri state transpar price licens extermin home inspect pest even bedbug boro certifi termit inspect roach treatment 125 room 3 famili hous 30day follow 18 month guarante bedbug 350 entir apt room follow 18 month guarante includ mous 125 entir apt 3 famili hous follow includ 18 month guarante handl pest gimmick charg per room contract sign servic set price plu follow guarante see get hidden fee extra cost match qout 18month guarante includ inspect servic come follow treatment ant bee mous rat tick flea fli moth spider roach bedbug cricket beetl wasp termit whatev organ kid pet peopl safe need leav home inhom inspect 24hr sameday servic avail violat remov commerci residenti servic avail veteran mo discount credit card accept gimmick hidden cost one set price includ follow guarante write one room price charg extra addit room contract gimmick thank competitor lock old websit tri get buy back old websit know best extermin need old site louieextermin com new site louieextermin com thank flower guy know scare extermin pest control differ hablamo espa call 7185818827 offic 3478853592 emerg 24hr visit websit www louieextermin com follow u facebook ig youtub extermin pestcontrol differ
1,1,1,https://newyork.craigslist.org/lgi/hss/d/west-babylon-home-improvements-repairs/7411614924.html,"Home Improvements, Repairs and Renovations","Complete home repairs and renovations. No job is too big or too small. Tile, flooring, molding, power washing, electrical, exterior and interior paint, drywall, framing, woodwork, windows, fencing and more. Great quality service, Great quality service, flexible, servicing all 5 boroughs, Nassau and Suffolk counties. For free estimates email: brushandhammer.homeimprovement@gmail.com Text: (917)362-9893    '",Handyman & General Services,home improv repair renov complet home repair renov job big small tile floor mold power wash electr exterior interior paint drywal frame woodwork window fenc great qualiti servic great qualiti servic flexibl servic 5 borough nassau suffolk counti estim email brushandhamm homeimprov gmail com text 917 362 9893
2,2,2,https://newyork.craigslist.org/fct/hss/d/trumbull-painters-grace-painting/7411611522.html,PAINTERS ( M Grace Painting & Remodeling ) (Trumbull),"I am professional, reliable and love what I do. ', '', 'I work on one job at a time. ', '', 'I cover everything and leave your place cleaner than before I came. ', '', 'I want the small jobs that the big contractors do not want. ', '', 'I pledge to provide you with the most professional painting job at the right cost. ', '', 'I greatly appreciate your business.', '', 'Very responsable. ', 'Excellent References and Recommendations. ', '', 'Licensed &; Insured', '', 'FREE ESTIMATES ', '2039526944 / 2035481155 ', 'Joel', '', 'SERVICES OFFERED: ', '', 'Interior &; Exterior Painting', 'Pressure Washing', 'Decks &; Fences', 'Drywall Repair ', 'Wall paper removal ', 'Staining &; Sealing ', 'Kitchen Cabinets Painting    '",Painting & Wall paper,painter grace paint remodel trumbul profession reliabl love work one job time cover everyth leav place cleaner came want small job big contractor want pledg provid profession paint job right cost greatli appreci busi respons excel refer recommend licens insur estim 2039526944 2035481155 joel servic offer interior exterior paint pressur wash deck fenc drywal repair wall paper remov stain seal kitchen cabinet paint
3,3,3,https://newyork.craigslist.org/fct/hss/d/stamford-painters-grace-painting/7411608844.html,PAINTERS ( M Grace Painting & Remodeling ) (Stamford),"Do you have a room you want to Paint? ', '', 'Do you want to repaint your room a different color? ', '', 'DonÃ¢â‚¬â„¢t have the time?', '', 'Want it done professionally? ', '', 'Call me at: 2039526944 ', '', 'My name is Joel, IÃ¢â‚¬â„¢m a professional painter. ', 'I have 10 YEARS OF EXPERIENCE.!!!', '', 'Very responsable. ', 'Excellent References and Recommendations. ', '', 'Licensed &; Insured ', '', 'SERVICES OFFERED: ', '', 'Interior &; Exterior Painting', 'Pressure Washing', 'Decks &; Fences', 'Drywall Repair ', 'Wall paper removal ', 'Staining &; Sealing ', 'Kitchen Cabinets Painting ', '', '', 'FREE ESTIMATES', '', 'Call me or text me at: ', 'Ã°Å¸â€™Â¬Ã¢ËœÅ½Ã¯Â¸Â 2039526944 / 2035481155    '",Painting & Wall paper,painter grace paint remodel stamford room want paint want repaint room differ color time want done profession call 2039526944 name joel profession painter 10 year experi respons excel refer recommend licens insur servic offer interior exterior paint pressur wash deck fenc drywal repair wall paper remov stain seal kitchen cabinet paint estim call text 2039526944 2035481155
4,4,4,https://newyork.craigslist.org/lgi/hss/d/swing-sets-installationswe-install-your/7411605436.html,Swing Sets Installations!We install your Playset today!!! (New York),"Get your swing set install today!', 'Why keep waiting ? Boxes getting heavy? Space?', 'We Assemble all kind of Playsets and we book you in 24 hours ', 'Call us and we take care today!', '5167798635', 'Visit : www.swingsetassemblers.com', 'Email :lherrera1960@gmaildotcom    '","Installation, Repairs & Rennovation",swing set instal instal playset today new york get swing set instal today keep wait box get heavi space assembl kind playset book 24 hour call u take care today 5167798635 visit www swingsetassembl com email lherrera1960 gmaildotcom
5,5,5,https://newyork.craigslist.org/mnh/hss/d/yonkers-carpet-removal-repairs/7411595696.html,"(((( *** CARPET REMOVAL, REPAIRS, & INSTALLATION *** ))) (NYC, WESTCHESTER, BRONX)","RELIABLE, REASONABLE.......I HAVE MY OWN CREW, VAN &; TOOLS', '', 'WE DO COMMERICAL AND RESIDENTIAL WORK, WE HAVE INSURANCE.', '', 'I PROVIDE VERY REASONABLE PRICES....FREE ESTIMATES', '', 'I HAVE ALOT OF GREAT REFERENCES....', '', 'I SPECIALIZE IN CARPET, LINOLEUM, &; VCT TILES', '', 'PLEASE CALL 914 438-0671....LEAVE A MESSAGE -Carmine', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '    '","Installation, Repairs & Rennovation",carpet remov repair instal nyc westchest bronx reliabl reason crew van tool commer residenti work insur provid reason price estim alot great refer special carpet linoleum vct tile pleas call 914 438 0671 leav messag carmin
6,6,6,https://newyork.craigslist.org/mnh/hss/d/jersey-city-male-maid/7411585501.html,Male Maid,Good Evening! I just recently moved to Jersey City &; IÃ¢â‚¬â„¢m currently looking for side jobs until starting my new job! I am a gay black male that has a passion for cleaning. I love cleaning and having a home looking and smelling clean! Email me to book me to clean your space!    ',Housekeeping and Cleaning,male maid good even recent move jersey citi current look side job start new job gay black male passion clean love clean home look smell clean email book clean space
7,7,7,https://newyork.craigslist.org/mnh/hss/d/astoria-cleaning-woman-laundry-ironing/7411529061.html,***CLEANING WOMAN/LAUNDRY/IRONING/ORGANIZING AVAILABLE*** (Manhattan-Queens-Brooklyn),"I  CLEAN * ORGANIZE * IRONING', '', '**** ALL LIVING AREAS ****', '', 'Dust, Clean and polish all glass, mirror and chrome surfaces.', '', 'Vacuum floor and stairs.', '', 'Make beds and change linens (when left on bed).', '', 'Collect and Dispose all trash.', '', '***** KITCHEN *****', '', 'Clean cabinets and appliance exteriors, counters and tables, ', '', 'Wash and clean sinks. ', '', 'Vacuum, floors and map.', '', '***** BATH ***** ', '', 'Clean bath tub and/or shower base also doors inside and out ', '.', 'Clean, sanitize and dry sinks and toilet. ', '', 'Clean and polish all mirrors and glass fixtures.', ' ', 'Hand-scrub removing soap scum from shower doors.', '', 'Clean tissue holder and towel racks.', ' ', 'Vacuum, bathroom rugs .', '', 'Vacuum, floors and map.', '', 'I   MAKE   YOUR   LAUNDRY   AND   IRONING   (when  the   washer  and  the  dryer   machines   are  in  the  same  building).', '', '    Call  for a free in home estimate. ', '', '    Great experience .', '', '    Good References.', '', '@@@@PLEASE SEND AN  EMAIL, TEXT OR CALL  AT   (347)361-2750@@@@', '', 'THANK  YOU  VERY  MUCH!', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '    '",Housekeeping and Cleaning,clean woman laundri iron organ avail manhattan queen brooklyn clean organ iron live area dust clean polish glass mirror chrome surfac vacuum floor stair make bed chang linen left bed collect dispos trash kitchen clean cabinet applianc exterior counter tabl wash clean sink vacuum floor map bath clean bath tub shower base also door insid clean sanit dri sink toilet clean polish mirror glass fixtur hand scrub remov soap scum shower door clean tissu holder towel rack vacuum bathroom rug vacuum floor map make laundri iron washer dryer machin build call home estim great experi good refer pleas send email text call 347 361 2750 thank much
8,8,8,https://newyork.craigslist.org/mnh/hss/d/new-york-69-home-cleaning-services/7411520020.html,"Ã°Å¸ÂÂ $69 Home Cleaning Services House Condo Apartment Maid Deep Move in out - New (Bronx, Brooklyn, Manhattan, Queens, Long Island, New Jersey)","""On-Demand Household Services with Diem! It's Quicker, Cheaper, and Safer."", 'Diem offers affordable &; professional home cleaning services across New York City including Bronx,Brooklyn, Manhattan, Queens, Staten Island, NYC and surrounding areas.', '', 'Order directly on DIEM APP for same-day service, next-day or later!', '', '$69 - 2 Hours Cleaning', '$94 - 3 Hours Cleaning', '$119 - 4 Hours Cleaning', '$139 - 5 Hours Cleaning', '$159 - 6 Hours Cleaning', '$224 - 8 Hours Cleaning (2 Cleaners x 4hrs each)', '$259 - 10 Hours Cleaning (2 Cleaners x 5hrs each)', '- - USE CODE CL-006 TO SAVE $6 ON CHECKOUT - -', '', 'WE PROVIDE THE SUPPLIES AND EQUIPMENT', '', 'LEARN MORE or ORDER on WEB:', 'https://diemtheapp.com/', '', 'OR ORDER VIA MOBILE APP:', 'Download DIEM APP for FREE on the App Store &; Google Play Store!', '', 'DIEM APP for iPhone: https://itunes.apple.com/ca/app/diem/id1422037593', '', '', 'DIEM APP for Android: https://play.google.com/store/apps/details?id=app.diem.requestor', '', '', 'Have any questions, comments, or inquiries? Text us and get a response in a few minutes (917) 277-3368', '', 'Diem App is a Top Home Services app. We specialize in everyday household tasks. Get things done with a press of a button, and get your time back!', '', '', 'OUR TOP SERVICES', '- Home Cleaning: standard; deep cleaning; move-in cleaning', '- Lawn Care: lawn mowing, yard work', '- Snow Removal: shoveling', '- Muscles: moving help', '- Handyman: shelves; door locks; assembly; TV mounting; curtains', '- Plumbing: faucet replacement; toilet clogs; sink clogs; leaks', '', ""WHAT'S MADE DIEM THE TOP HOME SERVICES APP"", '- Customer Support: we aim to please every customer', '- Easy-to-Use Interface: Order within a few seconds', '- Easy Payments: Secure payments backed by Chase Bank', '- Quality Control and Training', '- Background Checks and tested before servicing customers', '', '', ""Choosing Diem makes sense. It's easy to see why. We are available to answer questions throughout the way!"", '', '    '",Housekeeping and Cleaning,69 home clean servic hous condo apart maid deep move new bronx brooklyn manhattan queen long island new jersey demand household servic diem quicker cheaper safer diem offer afford profession home clean servic across new york citi includ bronx brooklyn manhattan queen staten island nyc surround area order directli diem app day servic next day later 69 2 hour clean 94 3 hour clean 119 4 hour clean 139 5 hour clean 159 6 hour clean 224 8 hour clean 2 cleaner x 4hr 259 10 hour clean 2 cleaner x 5hr use code cl 006 save 6 checkout provid suppli equip learn order web http diemtheapp com order via mobil app download diem app app store googl play store diem app iphon http itun appl com ca app diem id1422037593 diem app android http play googl com store app detail id app diem requestor question comment inquiri text u get respons minut 917 277 3368 diem app top home servic app special everyday household task get thing done press button get time back top servic home clean standard deep clean move clean lawn care lawn mow yard work snow remov shovel muscl move help handyman shelf door lock assembl tv mount curtain plumb faucet replac toilet clog sink clog leak made diem top home servic app custom support aim pleas everi custom easi use interfac order within second easi payment secur payment back chase bank qualiti control train background check test servic custom choos diem make sens easi see avail answer question throughout way
9,9,9,https://newyork.craigslist.org/jsy/hss/d/new-york-holiness-cleaning-service/7411513091.html,Ã°Å¸Ââ€”Ã°Å¸Ââ€“Holiness Cleaning Service Ã°Å¸Ââ€”Ã°Å¸Ââ€“ (Thanksgiving Special),"Holiness Cleaning Service (New Jersey (Path Train)', 'Holiness Cleaning Service: BOOK your APPOINTMENT TODAY', '', 'HOLINESS CLEANING SERVICE IS COMING TO NEW JERSEY FOR THE THANKSGIVING HOLIDAY!!!!', '', 'CAN AND WILL TRAVEL THROUGHTOUT THE CITY, PLUS ALL FIVE BROUOGHTS.', '', 'New Jersey Path train (Hoboken, Journal Square, Grove Street, Exchange Place, Jersey City and etc.', '*Weekly, bi-weekly and monthly services', '*One time only cleanings', '*Moving in/Moving Out Cleaning', '*Office space cleaning (MUST MEET IN PERSON)', '', 'What Cleaning Service provide for a REASONABLE RATE', '*Dusting all surfaces including light fixtures', '*Organize, Clean inside/ out of cabinets', '*Mopping', '*LAUNDRY (Can contact just for LAUNDRY)', '*AIRBNB Cleaning', '*Pre-party and post-party cleaning and so much more!!!!!', '', 'For further information to discuss price please feel free to CALL/TEXT Holiness Cleaning Services at (646) 335-6113', '', ""YOU WON'T REGRET BOOKING HOLINESS CLEANING SERVICE    """,Housekeeping and Cleaning,holi clean servic thanksgiv special holi clean servic new jersey path train holi clean servic book appoint today holi clean servic come new jersey thanksgiv holiday travel throughtout citi plu five brouoght new jersey path train hoboken journal squar grove street exchang place jersey citi weekli bi weekli monthli servic one time clean move move clean offic space clean must meet person clean servic provid reason rate dust surfac includ light fixtur organ clean insid cabinet mop laundri contact laundri airbnb clean pre parti post parti clean much inform discu price pleas feel call text holi clean servic 646 335 6113 regret book holi clean servic
